name,address1,city,zip,country,latitude,longitude,price_level,provider_rating,provider_review_count,review_stats_all_average_score,review_stats_all_count,review_stats_all_total_score,review_stats_community_average_score,review_stats_community_count,review_stats_community_total_score,review_stats_critic_average_score,review_stats_critic_count,review_stats_critic_total_score,review_stats_dave_average_score,review_stats_dave_count,review_stats_dave_total_score
Bella Vita Pizzeria,158 W 58th St,New York,10019,US,40.7656728,-73.9788018,1,3.5,156,5.55,4,22.2,5.466666667,3,16.4,0,0,0,5.8,1,5.8
Belleria Pizzeria,5625 Mahoning Ave,Youngstown,44515,US,41.0992203,-80.7669492,1,3,9,6.8,1,6.8,0,0,0,0,0,0,6.8,1,6.8
Belmora Pizza & Restaurant,139 E 57th St,New York,10022,US,40.761057,-73.9687578,1,2.5,64,5.06,5,25.3,4.725,4,18.9,0,0,0,6.4,1,6.4
Benny Marzano's,110 Draper Rd NW,Blacksburg,24060,US,37.229311,-80.4149952,1,4,111,8.092857143,14,113.3,8.169230769,13,106.2,0,0,0,7.1,1,7.1
Benny Tudino's Pizzeria,622 Washington St,Hoboken,7030,US,40.7442476,-74.0291561,1,3.5,606,6.795454545,22,149.5,6.795238095,21,142.7,0,0,0,6.8,1,6.8
Ben's Pizzeria,123 MacDougal St,New York,10012,US,40.7303784,-74.0003231,1,3.5,256,5.95,8,47.6,6.028571429,7,42.2,0,0,0,5.4,1,5.4
Best Pizza,33 Havemeyer St,Brooklyn,11211,US,40.7156098,-73.9535064,1,3.5,525,8.525925926,108,920.8,8.520560748,107,911.7,0,0,0,9.1,1,9.1
Bianchi's Pizza,322 Revere Beach Blvd,Revere,2151,US,42.4195497,-70.986745,1,4,204,8.671428571,14,121.4,8.707692308,13,113.2,0,0,0,8.2,1,8.2
Big Lou's Pizza,2048 S Ww White Rd,San Antonio,78222,US,29.3942955,-98.4041595,2,3.5,625,6.85,10,68.5,7.077777778,9,63.7,0,0,0,4.8,1,4.8
Big Nick's Burger & Pizza Joint Too,70 W 71st St,New York,10023,US,40.7764537,-73.9790728,2,3,362,4.2,1,4.2,0,0,0,0,0,0,4.2,1,4.2
Biggie's Pizza,1333 3rd St N,Jacksonville Beach,32250,US,30.3010239,-81.3939898,1,4.5,324,7.604,25,190.1,7.708333333,24,185,0,0,0,5.1,1,5.1
Bill's Pizzeria Kitchen + Grille,14 Main St,Hopkinton,1748,US,42.229138,-71.5200453,2,3,57,6.26,5,31.3,6.225,4,24.9,0,0,0,6.4,1,6.4
Black Sheep Pizza - Minneapolis,2550 Nicollet Ave S,Minneapolis,55404,US,44.9557263,-93.2781621,2,3.5,118,7.99787234,47,375.9,7.991304348,46,367.6,0,0,0,8.3,1,8.3
Black Square Pizza,44 9th Ave,New York,10011,US,40.7410115,-74.0048657,2,3,29,6.766666667,3,20.3,7.05,2,14.1,0,0,0,6.2,1,6.2
Bleecker Street Pizza,69 7th Ave S,New York,10014,US,40.7322097,-74.003375,1,4,2000,7.319148936,47,344,7.32826087,46,337.1,0,0,0,6.9,1,6.9
Bonanno's New York Pizzeria,3900 Las Vegas Blvd S,Las Vegas,89109,US,36.09551,-115.1760672,2,3,62,4.5,5,22.5,4.825,4,19.3,0,0,0,3.2,1,3.2
Bonanno's New York Pizzeria,MGM Hotel & Casino Food Court,Las Vegas,89109,US,36.102576,-115.1702533,2,3,115,4.008333333,12,48.1,4.081818182,11,44.9,0,0,0,3.2,1,3.2
Bond 45,221 W 46th St,New York,10036,US,40.7593741,-73.9861745,2,3.5,600,6.6,6,39.6,6.725,4,26.9,6.2,1,6.2,6.5,1,6.5
Borrelli's,1580 Hempstead Tpke,East Meadow,11554,US,40.7225396,-73.5777702,2,3.5,150,7.881578947,38,299.5,7.881081081,37,291.6,0,0,0,7.9,1,7.9
Bricco Ristorante Italiano,304 W 56th St,New York,10019,US,40.7660301,-73.984036,2,3.5,126,8.133333333,3,24.4,7.8,1,7.8,9.8,1,9.8,6.8,1,6.8
Brick Oven Pizza 33,489 Third Ave,New York,10016,US,40.7450509,-73.9782801,1,3,290,7.736363636,33,255.3,7.721875,32,247.1,0,0,0,8.2,1,8.2
